event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,ARB/USDT,SHORT,probe,0.3086,,1760210573.6272237,,32.40440699935191,,open,,0.27774,True,0.0,,0.004155,probe_breakout_short,12/10/2025 02:22,
open,XRP/USDT,SHORT,probe,2.4114,,1760210603.6458316,,4.14696856597827,,open,,2.17026,True,0.0,,0.023913,probe_breakout_short,12/10/2025 02:23,
open,ATOM/USDT,SHORT,probe,3.162,,1760210753.7120092,,3.1625553447185326,,open,,2.8458,True,0.0,,0.037596,probe_breakout_short,12/10/2025 02:25,
promote,ATOM/USDT,SHORT,full,3.162,,1760210753.7120092,,18.975332068311197,,promoted,,2.8458,False,0.0,,0.037596,probe_breakout_short,12/10/2025 02:25,
close,ETH/USDT,SHORT,probe,3787.59,3753.33,1760209913.206195,1760212614.7980156,0.0026402012889462693,0.08248947747776347,TRAP,,3408.831,True,0.007963818681536282,0.08248947747776347,24.454746,trap_reversal,12/10/2025 02:11,12/10/2025 02:56
close,XRP/USDT,SHORT,probe,2.4114,2.4092,1760210603.6458316,1760212674.836851,4.14696856597827,0.001126980177491091,TRAP,,2.17026,True,0.007996350667661939,0.001126980177491091,0.023913,trap_reversal,12/10/2025 02:23,12/10/2025 02:57
open,ETH/USDT,SHORT,probe,3715.15,,1760214505.87011,,0.0026939320473643126,,open,,3343.635,True,0.0,,30.638689,probe_breakout_short,12/10/2025 03:28,
close,ARB/USDT,SHORT,probe,0.3086,0.2981,1760210573.6272237,1760216036.774859,32.40440699935191,0.33238237200259263,TRAP,0.307983,0.27774,True,0.007863901490602723,0.33238237200259263,0.004155,trap_reversal,12/10/2025 02:22,12/10/2025 03:53
close,ETH/USDT,SHORT,probe,3715.15,3694.19,1760214505.87011,1760216306.9481232,0.0026939320473643126,0.04848071232242877,TRAP,,3343.635,True,0.007984103390327318,0.04848071232242877,30.638689,trap_reversal,12/10/2025 03:28,12/10/2025 03:58
close,DOT/USDT,SHORT,probe,3.081,2.96,1760209973.2434027,1760216336.9558446,3.2456994482310937,0.3848867250892567,TRAP,3.074838,2.7729,True,0.007842908146705616,0.3848867250892567,0.034879,trap_reversal,12/10/2025 02:12,12/10/2025 03:58
