timestamp,symbol,timeframe,score_long,score_short,score_threshold,score_total_weight,active_total_weight,status
2025-09-28T10:44:09.067241,BNB/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:44:09.598966,SOL/USDT,15m,1.8,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:44:10.169925,XRP/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:44:10.697475,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:44:11.274709,DOGE/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:44:11.805051,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:44:12.332369,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:44:12.912493,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:44:13.432400,DOT/USDT,15m,8.25,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:44:13.961666,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:44:14.481982,AVAX/USDT,15m,3.39,8.27,15.0,18.0,18.0,NONE
2025-09-28T10:44:15.013282,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:44:15.687860,ARB/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:45:07.891125,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:45:08.419029,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:45:08.998546,BNB/USDT,15m,10.38,3.5,15.0,18.0,18.0,NONE
2025-09-28T10:45:09.523151,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:45:10.101499,XRP/USDT,15m,8.47,5.41,15.0,18.0,18.0,NONE
2025-09-28T10:45:10.610327,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:45:11.186497,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:45:11.716844,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:45:12.239264,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:45:12.767243,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:45:13.289130,DOT/USDT,15m,8.25,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:45:13.814218,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:45:14.335268,AVAX/USDT,15m,3.39,8.27,15.0,18.0,18.0,NONE
2025-09-28T10:45:14.862440,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:45:15.392828,ARB/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:46:08.001827,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:46:08.579436,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:46:09.194272,BNB/USDT,15m,10.38,3.5,15.0,18.0,18.0,NONE
2025-09-28T10:46:09.778001,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:46:10.274352,XRP/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:46:10.770443,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:46:11.342144,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:46:11.917176,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:46:12.438027,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:46:12.966787,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:46:13.489136,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:46:14.014821,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:46:14.538336,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:46:15.063120,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:46:15.594654,ARB/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:47:08.111030,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:47:08.840770,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:47:09.408176,BNB/USDT,15m,10.38,3.5,15.0,18.0,18.0,NONE
2025-09-28T10:47:09.986458,SOL/USDT,15m,1.8,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:47:10.565999,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:47:11.095955,ADA/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:47:11.675663,DOGE/USDT,15m,4.98,7.84,15.0,18.0,18.0,NONE
2025-09-28T10:47:12.203716,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:47:12.728042,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:47:13.303935,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:47:13.821239,DOT/USDT,15m,5.19,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:47:14.394418,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:47:14.958738,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:47:15.483686,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:47:16.056458,ARB/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:48:08.112781,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:48:08.738587,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:48:09.265059,BNB/USDT,15m,10.38,3.5,15.0,18.0,18.0,NONE
2025-09-28T10:48:09.803790,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:48:10.473095,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:48:11.001172,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:48:11.538264,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:48:12.210583,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:48:12.732725,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:48:13.258651,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:48:13.875909,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:48:14.403408,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:48:14.923726,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:48:15.445985,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:48:15.974046,ARB/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:49:07.931461,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:49:08.557960,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:49:09.140112,BNB/USDT,15m,10.38,3.5,15.0,18.0,18.0,NONE
2025-09-28T10:49:09.665154,SOL/USDT,15m,1.8,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:49:10.202025,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:49:10.729110,ADA/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:49:11.259521,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:49:11.786828,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:49:12.304209,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:49:12.983799,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:49:13.567842,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:49:14.100763,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:49:14.613006,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:49:15.125646,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:49:15.638371,ARB/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:50:08.122752,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:50:08.745969,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:50:09.615290,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:50:10.254848,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:50:10.789933,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:50:11.369465,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
